City,Launch date UberX,Pool date
"Anchorage, AK",15-May-17,
"Birmingham, AL",,
"Little Rock, AR",,
"Mesa, AZ",,
"Phoenix, AZ",,
"Scottsdale, AZ",,
"Tempe, AZ",,
"Tucson, AZ",,
"Berkeley, CA",,
"Fresno, CA",,
"Irvine, CA",,
"Los Angeles, CA",8-Mar-12,18-Feb-15
"Oakland, CA",,
"Sacramento, CA",,
"San Diego, CA",,
"San Francisco, CA",1-Jul-10,1-Aug-14
"San Jose, CA",,
"Santa Clara, CA",,
"Sunnyvale, CA",,
"Colorado Springs, CO",,
"Denver, CO",,
"Washington, DC",4-Oct-11,12-Apr-16
"Gainesville, FL",,
"Jacksonville, FL",,
"Miami, FL",,
"Orlando, FL",,
"Tampa, FL",,
"Atlanta, GA",24-Aug-12,11-Dec-15
"Roswell, GA",,
"Honolulu, HI",,
"Des Moines, IA",,
"Boise, ID",,
"Chicago, IL",23-Apr-13,17-Nov-15
"Indianapolis, IN",,
"Wichita, KS",,
"Lexington, KY",,
"Baton Rouge, LA",,
"New Orleans, LA",,
"Boston, MA",14-Aug-12,13-Aug-15
"Somerville, MA",,
"Baltimore, MD",,
"Grand Rapids, MI",,
"St Paul, MN",,
"Kansas City, MO",,
"Springfield, MO",,
"St Louis, MO",,
"Jackson, MS",,
"Cary, NC",,
"Charlotte, NC",,
"Durham, NC",,
"Greensboro, NC",,
"Raleigh, NC",,
"Lincoln, NE",,
"Omaha, NE",,
"Newark, NJ",,
"Albuquerque, NM",,
"Las Vegas, NV",,
"Reno, NV",,
"Albany, NY",,
"Buffalo, NY",,
"New York, NY",1-May-11,11-Dec-14
"Rochester, NY",,
"Cleveland, OH",,
"Columbus, OH",,
"Dayton, OH",,
"Oklahoma City, OK",,
"Tulsa, OK",,
"Beaverton, OR",,
"Eugene, OR",,
"Portland, OR",,
"Philadelphia, PA",,
"Pittsburgh, PA",,
"State College, PA",,
"Providence, RI",,
"Columbia, SC",,
"Greenville, SC",,
"Knoxville, TN",,
"Memphis, TN",,
"Nashville, TN",,
"Austin, TX",,
"Dallas, TX",,
"Ft Worth, TX",,
"Houston, TX",,
"Irving, TX",,
"Lubbock, TX",,
"Plano, TX",,
"San Antonio, TX",,
"Salt Lake City, UT",,
"Arlington, VA",,
"Norfolk, VA",,
"Reston, VA",,
"Richmond, VA",,
"Bellevue, WA",,
"Seattle, WA",,
"Spokane, WA",,
"Madison, WI",,
"Milwaukee, WI",,
