Month,Influenza: (Austin TX),Influenza: (Boston MA-Manchester NH),Influenza: (Buffalo NY),Influenza: (Chicago IL),Influenza: (Houston TX),Influenza: (Los Angeles CA),Influenza: (Miami-Ft. Lauderdale FL),Influenza: (New York NY),Influenza: (Philadelphia PA),Influenza: (Phoenix AZ),Influenza: (San Francisco-Oakland-San Jose CA),Influenza: (Seattle-Tacoma WA)
2004-01,3,13,7,8,5,5,10,10,6,8,8,8
2004-02,4,9,11,7,6,6,9,8,10,8,9,8
2004-03,3,5,8,3,1,3,4,4,4,2,2,3
2004-04,2,4,2,4,1,5,3,3,3,4,3,5
2004-05,1,2,0,3,2,1,4,2,1,2,1,1
2004-06,1,3,2,1,1,2,1,2,1,2,2,2
2004-07,3,3,4,1,3,2,2,2,1,2,2,2
2004-08,2,2,0,2,2,3,3,2,2,1,3,2
2004-09,3,5,5,4,3,5,3,4,5,4,5,4
2004-10,22,30,21,24,21,25,21,30,28,27,34,25
2004-11,10,12,7,10,6,9,10,10,10,8,12,12
2004-12,9,13,3,8,5,7,7,10,6,6,9,10
2005-01,6,15,20,9,7,8,8,10,8,4,9,10
2005-02,12,12,9,13,15,9,9,10,14,7,13,11
2005-03,5,7,2,6,5,5,5,6,8,2,6,6
2005-04,5,6,3,3,4,5,4,4,4,6,6,7
2005-05,2,4,2,4,3,3,3,3,3,3,5,4
2005-06,3,5,0,1,1,4,3,2,2,4,4,4
2005-07,1,3,3,2,3,3,3,3,3,3,3,3
2005-08,2,3,6,2,1,3,4,2,2,3,4,4
2005-09,7,8,10,7,5,7,8,9,10,8,9,8
2005-10,19,35,25,29,28,30,34,30,31,36,36,36
2005-11,21,32,24,20,21,23,20,28,29,24,25,29
2005-12,11,17,14,11,10,14,10,10,10,19,15,13
2006-01,8,13,8,9,8,8,10,10,10,13,13,13
2006-02,10,16,4,8,7,9,11,12,12,9,13,14
2006-03,10,19,12,12,11,10,19,13,13,7,14,14
2006-04,5,9,10,8,6,7,9,8,9,7,9,10
2006-05,7,19,8,11,9,9,11,13,14,7,12,16
2006-06,4,8,3,4,4,4,7,6,5,4,7,7
2006-07,1,4,3,3,3,4,5,4,4,3,4,3
2006-08,1,4,5,2,2,3,6,5,3,2,3,2
2006-09,3,6,4,5,4,4,6,6,7,8,5,4
2006-10,8,13,12,12,14,13,8,14,13,16,17,14
2006-11,9,16,11,10,10,11,9,14,13,15,16,14
2006-12,4,10,11,7,7,8,6,11,7,10,10,7
2007-01,6,10,7,6,5,8,6,13,7,9,11,10
2007-02,10,10,9,8,6,8,6,9,7,6,10,17
2007-03,6,7,9,5,6,4,7,7,5,5,6,7
2007-04,3,5,6,3,3,3,4,5,4,4,4,4
2007-05,1,3,6,3,2,3,4,4,2,3,3,4
2007-06,2,2,3,2,2,2,3,4,2,2,3,2
2007-07,2,2,0,2,2,2,2,2,1,2,2,2
2007-08,2,2,4,2,2,2,4,2,2,2,3,2
2007-09,4,6,4,3,3,4,4,4,4,4,5,4
2007-10,9,14,11,10,10,11,9,10,12,14,13,12
2007-11,7,16,12,9,7,9,6,10,10,11,11,9
2007-12,7,8,7,6,4,7,5,7,6,5,7,5
2008-01,11,8,4,7,8,7,7,8,6,6,8,7
2008-02,11,17,14,12,10,11,8,12,14,11,11,12
2008-03,6,12,13,8,4,6,8,8,7,6,7,8
2008-04,3,6,3,4,2,4,5,4,4,4,4,5
2008-05,3,3,1,3,3,3,3,3,2,3,4,3
2008-06,2,3,2,2,1,3,1,2,2,3,4,3
2008-07,1,2,1,1,2,3,2,2,1,2,2,2
2008-08,3,3,1,2,2,2,2,2,3,2,3,2
2008-09,5,5,6,4,3,5,4,4,5,5,5,5
2008-10,11,16,11,11,9,10,9,12,12,13,10,11
2008-11,10,17,13,10,8,10,7,11,11,11,11,12
2008-12,5,10,5,7,5,6,6,8,7,8,6,6
2009-01,7,7,5,7,5,6,6,7,8,3,5,5
2009-02,11,16,6,7,9,6,6,10,10,6,6,7
2009-03,4,9,4,6,4,5,5,7,6,7,5,8
2009-04,100,96,68,100,100,100,100,100,85,100,100,100
2009-05,61,94,67,65,64,62,81,88,67,64,75,87
2009-06,9,33,32,17,11,15,25,36,25,15,44,16
2009-07,11,17,21,10,10,15,28,16,16,12,43,12
2009-08,17,22,21,16,17,18,24,18,20,20,46,19
2009-09,57,60,49,37,48,36,45,43,45,43,35,51
2009-10,56,100,100,78,59,78,60,73,100,89,52,99
2009-11,22,85,60,44,28,55,35,61,57,42,34,52
2009-12,11,24,15,14,13,20,12,19,18,15,18,18
2010-01,6,15,9,8,6,10,6,12,10,8,9,7
2010-02,6,8,8,7,6,7,6,7,7,6,7,6
2010-03,4,6,4,5,5,5,4,4,6,5,8,6
2010-04,3,4,3,3,3,5,4,4,4,4,8,5
2010-05,2,4,4,3,2,4,3,3,3,3,6,4
2010-06,1,3,3,2,2,3,3,2,3,3,4,2
2010-07,1,3,1,2,2,2,4,2,2,2,4,3
2010-08,3,5,5,3,2,3,4,3,3,3,4,3
